Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
"C1","4u7","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",63.500000,-39.000000,180.000000,top
"C2","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",63.500000,-37.000000,180.000000,top
"C3","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",49.000000,-50.250000,270.000000,top
"C4","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",73.200000,-67.400000,0.000000,top
"C5","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",28.300000,-96.600000,270.000000,top
"C6","1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",49.000000,-40.500000,270.000000,top
"C7","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",48.000000,-37.500000,180.000000,top
"C10","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",30.300000,-101.100000,270.000000,top
"C11","12pF","C_0402_1005Metric",60.500000,-69.000000,270.000000,top
"C12","12pF","C_0402_1005Metric",54.000000,-69.000000,90.000000,top
"C13","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",52.000000,-41.500000,180.000000,top
"D1","ZMM 5V6","D_MiniMELF",95.500000,-36.500000,270.000000,top
"D2","SS34","D_SMA",88.500000,-53.500000,180.000000,top
"D3","1N4148","D_SOD-123",31.800000,-95.600000,180.000000,top
"D4","LED_Small","LED_0603_1608Metric",22.000000,-22.750000,180.000000,top
"D5","1N4148","D_SOD-123",37.600000,-38.200000,180.000000,top
"F1","2920L300/15DR","Fuse_2920_7451Metric",106.800000,-40.200000,90.000000,top
"L1","39n","L_0402_1005Metric",48.000000,-36.000000,180.000000,top
"L2","47uH","L_Bourns_SRR1260",90.950000,-67.400000,0.000000,top
"Q1","AO3401A","SOT-23",100.000000,-40.500000,180.000000,top
"R1","220R","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",95.500000,-28.000000,180.000000,top
"R2","10k","R_0805_2012Metric",31.800000,-98.100000,0.000000,top
"R3","10k","R_0805_2012Metric",32.800000,-101.100000,90.000000,top
"R4","1K","R_0805_2012Metric",22.000000,-25.000000,180.000000,top
"R5","220R","R_1206_3216Metric",34.900000,-66.000000,180.000000,top
"R6","220R","R_1206_3216Metric",34.600000,-61.600000,0.000000,top
"R7","220R","R_1206_3216Metric",33.400000,-39.400000,90.000000,top
"R8","1K","R_0805_2012Metric",41.800000,-42.400000,180.000000,top
"U1","LM2596S-5","TO-263-5_TabPin3",102.000000,-53.500000,0.000000,top
"U2","ATmega2560-16AU","TQFP-100_14x14mm_P0.5mm",59.500000,-52.500000,270.000000,top
"U3","6N138","SMDIP-8_W9.53mm",40.400000,-49.800000,0.000000,top
"Y1","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",57.250000,-69.250000,180.000000,top
